member_id,churn_probability,rank
9670,0.6571,1
9873,0.6521,2
5321,0.6492,3
7056,0.6461,4
4938,0.6444,5
4232,0.6429,6
707,0.6367,7
533,0.6347,8
8283,0.6336,9
5655,0.6329,10
9664,0.6317,11
4401,0.6316,12
8684,0.6313,13
2865,0.6313,14
7349,0.6309,15
2327,0.6297,16
2923,0.6296,17
524,0.6294,18
4940,0.6292,19
5118,0.6291,20
4959,0.6287,21
1714,0.6269,22
687,0.6267,23
8661,0.6245,24
1625,0.6243,25
5673,0.6234,26
8394,0.6231,27
529,0.6228,28
5836,0.6227,29
2154,0.6227,30
4182,0.6226,31
3174,0.6218,32
569,0.6216,33
2412,0.6214,34
9423,0.6209,35
5521,0.6208,36
1658,0.6207,37
1914,0.6206,38
2908,0.6206,39
9952,0.6199,40
2168,0.6196,41
1958,0.6193,42
2817,0.6192,43
6328,0.6189,44
4777,0.6186,45
4853,0.6182,46
3446,0.6163,47
5340,0.6159,48
6103,0.6158,49
4329,0.6155,50
8332,0.6155,51
6213,0.6153,52
8260,0.615,53
3475,0.6149,54
5546,0.6142,55
6046,0.614,56
3592,0.6137,57
6164,0.6136,58
7485,0.6135,59
2714,0.6134,60
3412,0.6133,61
7883,0.6122,62
7789,0.6112,63
4566,0.6105,64
7236,0.6103,65
8988,0.6098,66
3084,0.6097,67
677,0.6096,68
2526,0.6094,69
7915,0.6094,70
7033,0.6094,71
5593,0.6092,72
8657,0.6089,73
9681,0.6083,74
9581,0.608,75
7362,0.608,76
4062,0.6079,77
2032,0.6076,78
6764,0.6069,79
6365,0.6065,80
1472,0.6063,81
4734,0.6062,82
3735,0.6057,83
6491,0.6055,84
6748,0.6054,85
6979,0.6052,86
664,0.605,87
64,0.6044,88
9319,0.6043,89
2281,0.6041,90
3567,0.6039,91
4797,0.6038,92
5452,0.6032,93
1882,0.6031,94
5685,0.6031,95
3507,0.6031,96
1185,0.603,97
2706,0.6029,98
8023,0.6028,99
8162,0.6026,100
6906,0.6024,101
7490,0.6024,102
8142,0.6021,103
8567,0.602,104
6496,0.602,105
8271,0.6018,106
458,0.6015,107
4203,0.6012,108
5200,0.6011,109
7140,0.601,110
6422,0.601,111
1545,0.6009,112
1672,0.6006,113
2910,0.6006,114
9497,0.6002,115
7189,0.5999,116
4193,0.5997,117
3184,0.5996,118
6762,0.5995,119
7575,0.5995,120
6027,0.5994,121
6669,0.5994,122
9193,0.5989,123
4550,0.5984,124
6361,0.5984,125
1372,0.5977,126
9852,0.5975,127
9428,0.5969,128
1297,0.5969,129
8541,0.5968,130
1695,0.5968,131
419,0.5968,132
1180,0.5966,133
5463,0.5964,134
1613,0.5963,135
1043,0.5962,136
4810,0.5961,137
8350,0.5959,138
1329,0.5957,139
4516,0.5956,140
9089,0.5953,141
9832,0.5952,142
5966,0.5951,143
1581,0.5951,144
3055,0.5948,145
1262,0.5946,146
2609,0.5945,147
6135,0.5945,148
1405,0.5939,149
720,0.5939,150
1806,0.5939,151
4293,0.5936,152
465,0.5935,153
1805,0.5932,154
729,0.5932,155
1457,0.593,156
6252,0.593,157
7338,0.593,158
3120,0.5929,159
5717,0.5929,160
3314,0.5926,161
5199,0.5926,162
2404,0.5925,163
1842,0.5923,164
2034,0.5923,165
970,0.5922,166
9766,0.592,167
9931,0.5918,168
4749,0.5916,169
3694,0.5914,170
7747,0.5913,171
5659,0.5913,172
6275,0.5913,173
4414,0.5913,174
4620,0.5912,175
5220,0.5912,176
3684,0.5912,177
7118,0.591,178
6698,0.591,179
1308,0.5908,180
8014,0.5908,181
9156,0.5908,182
2166,0.5906,183
9628,0.5905,184
1103,0.59,185
8507,0.59,186
7930,0.5899,187
7701,0.5898,188
5158,0.5898,189
23,0.5896,190
4227,0.5895,191
1800,0.5895,192
7471,0.5891,193
3867,0.5888,194
9728,0.5887,195
6300,0.5885,196
8848,0.5885,197
4113,0.5883,198
8069,0.5881,199
2390,0.5881,200
2743,0.588,201
6066,0.5879,202
2511,0.5879,203
7212,0.5879,204
9926,0.5877,205
2229,0.5876,206
8401,0.5876,207
5109,0.5875,208
6953,0.5875,209
2733,0.5874,210
8641,0.5873,211
2472,0.587,212
7785,0.587,213
7648,0.587,214
3426,0.5869,215
1634,0.5866,216
817,0.5865,217
1230,0.5865,218
